epoch,train_loss,step
0,-3.2559127807617188,49
1,-3.644354820251465,99
2,-4.019433975219727,149
3,-4.085303783416748,199
4,-4.1693034172058105,249
5,-4.127172946929932,299
6,-4.268191337585449,349
7,-4.325928688049316,399
8,-4.352021217346191,449
9,-4.357408046722412,499
10,-4.424266815185547,549
11,-4.436026573181152,599
12,-4.479426383972168,649
13,-4.532364368438721,699
14,-4.561117649078369,749
15,-4.6333112716674805,799
16,-4.676801681518555,849
17,-4.726433753967285,899
18,-4.745233058929443,949
19,-4.801087379455566,999
20,-4.838102340698242,1049
21,-4.8669843673706055,1099
22,-4.901305675506592,1149
23,-4.9335761070251465,1199
24,-4.96887731552124,1249
25,-4.995862007141113,1299
26,-5.053979873657227,1349
27,-5.102313995361328,1399
28,-5.122872829437256,1449
29,-5.217264175415039,1499
30,-5.263857364654541,1549
31,-5.315251350402832,1599
32,-5.440338611602783,1649
33,-5.5064191818237305,1699
34,-5.5226287841796875,1749
35,-5.605156421661377,1799
36,-5.639362812042236,1849
37,-5.7256035804748535,1899
38,-5.739380359649658,1949
39,-5.6929030418396,1999
40,-5.882333278656006,2049
41,-5.866248607635498,2099
42,-5.976180553436279,2149
43,-5.913186073303223,2199
44,-5.9539265632629395,2249
45,-6.06602668762207,2299
46,-6.163450717926025,2349
47,-5.911530017852783,2399
48,-5.984683036804199,2449
49,-5.929357528686523,2499
