epoch,train_loss,step
0,-4.058770179748535,49
1,-4.273744583129883,99
2,-4.661818027496338,149
3,-5.091784954071045,199
4,-5.43220329284668,249
5,-5.662939071655273,299
6,-5.896999359130859,349
7,-6.045070648193359,399
8,-6.165749549865723,449
9,-6.241291522979736,499
10,-6.325991630554199,549
11,-6.432729721069336,599
12,-6.34872579574585,649
13,-6.53439998626709,699
14,-6.528805732727051,749
15,-6.507938861846924,799
16,-6.665984630584717,849
17,-6.675457000732422,899
18,-6.680814743041992,949
19,-6.729273796081543,999
20,-6.710038661956787,1049
21,-6.808162212371826,1099
22,-6.810276031494141,1149
23,-6.794701099395752,1199
24,-6.777454853057861,1249
25,-6.900397777557373,1299
26,-6.820462226867676,1349
27,-6.923826217651367,1399
28,-6.9246015548706055,1449
29,-6.981602191925049,1499
30,-6.937917709350586,1549
31,-6.949807643890381,1599
32,-7.000593662261963,1649
33,-7.040452480316162,1699
34,-6.973647594451904,1749
35,-6.913345813751221,1799
36,-6.952524185180664,1849
37,-7.111025810241699,1899
38,-7.12364387512207,1949
39,-7.129228591918945,1999
40,-7.116095542907715,2049
41,-7.091368198394775,2099
42,-6.925767421722412,2149
43,-7.059946060180664,2199
44,-7.119302749633789,2249
45,-7.158688545227051,2299
46,-7.180996894836426,2349
47,-7.1674604415893555,2399
48,-7.181736469268799,2449
49,-7.001737594604492,2499
