epoch,train_loss,step
0,-3.967831611633301,49
1,-4.233292102813721,99
2,-4.567263603210449,149
3,-4.9554219245910645,199
4,-5.359814643859863,249
5,-5.66751766204834,299
6,-5.876854419708252,349
7,-5.880622386932373,399
8,-6.06704044342041,449
9,-6.211665630340576,499
10,-6.248530864715576,549
11,-6.380294322967529,599
12,-6.3204569816589355,649
13,-6.524355411529541,699
14,-6.321122646331787,749
15,-6.384281635284424,799
16,-6.679447174072266,849
17,-6.6362786293029785,899
18,-6.551279067993164,949
19,-6.638853073120117,999
20,-6.805851459503174,1049
21,-6.768121242523193,1099
22,-6.709306716918945,1149
23,-6.615753173828125,1199
24,-6.780436992645264,1249
25,-6.880963325500488,1299
26,-6.895227432250977,1349
27,-6.958785533905029,1399
28,-6.965493679046631,1449
29,-6.941725254058838,1499
30,-6.757413864135742,1549
31,-6.953373908996582,1599
32,-6.9029645919799805,1649
33,-6.844847202301025,1699
34,-7.038604259490967,1749
35,-7.085840225219727,1799
36,-7.051638126373291,1849
37,-7.037296772003174,1899
38,-7.1096110343933105,1949
39,-7.094913959503174,1999
40,-6.985150337219238,2049
41,-7.074339389801025,2099
42,-7.026811599731445,2149
43,-7.152045726776123,2199
44,-7.000338077545166,2249
45,-7.101442813873291,2299
46,-7.084872245788574,2349
47,-7.19374942779541,2399
48,-7.185718536376953,2449
49,-7.195491313934326,2499
