train_loss,epoch,step
-4.100539684295654,0,49
-4.348226547241211,1,99
-4.750627517700195,2,149
-5.144656181335449,3,199
-5.4909539222717285,4,249
-5.767233848571777,5,299
-5.938390731811523,6,349
-6.006308078765869,7,399
-6.100597381591797,8,449
-6.245273590087891,9,499
-6.276619911193848,10,549
-6.365358829498291,11,599
-6.4138922691345215,12,649
-6.437480926513672,13,699
-6.462578296661377,14,749
-6.568049430847168,15,799
-6.5994744300842285,16,849
-6.6440582275390625,17,899
-6.6046576499938965,18,949
-6.720384120941162,19,999
-6.743340492248535,20,1049
-6.721245288848877,21,1099
-6.796234130859375,22,1149
-6.746013164520264,23,1199
-6.731005668640137,24,1249
-6.827556610107422,25,1299
-6.7769012451171875,26,1349
-6.786984443664551,27,1399
-6.746654510498047,28,1449
-6.887253284454346,29,1499
-6.962703227996826,30,1549
-6.991570949554443,31,1599
-6.968138217926025,32,1649
-6.978944778442383,33,1699
-6.915614128112793,34,1749
-7.002108097076416,35,1799
-7.0621337890625,36,1849
-6.9427032470703125,37,1899
-6.904229640960693,38,1949
-6.864511489868164,39,1999
-6.966372489929199,40,2049
-7.076695442199707,41,2099
-7.103315830230713,42,2149
-7.103491306304932,43,2199
-7.124130725860596,44,2249
-7.121645927429199,45,2299
-7.055635929107666,46,2349
-7.142910003662109,47,2399
-7.067823886871338,48,2449
-7.113180160522461,49,2499
