epoch,train_loss,step
0,-3.969364643096924,49
1,-4.207414150238037,99
2,-4.520185470581055,149
3,-4.908601760864258,199
4,-5.261250019073486,249
5,-5.595895290374756,299
6,-5.824088096618652,349
7,-6.1231842041015625,399
8,-6.08526611328125,449
9,-6.228394985198975,499
10,-6.414797782897949,549
11,-6.489415168762207,599
12,-6.329733848571777,649
13,-6.629928112030029,699
14,-6.714704513549805,749
15,-6.7388482093811035,799
16,-6.783270359039307,849
17,-6.806736469268799,899
18,-6.836331367492676,949
19,-6.917385101318359,999
20,-6.942873954772949,1049
21,-6.88516092300415,1099
22,-6.852302074432373,1149
23,-6.846102714538574,1199
24,-7.052250385284424,1249
25,-7.009922981262207,1299
26,-7.065328598022461,1349
27,-7.104806900024414,1399
28,-7.0933518409729,1449
29,-7.152207851409912,1499
30,-7.157464027404785,1549
31,-7.166628837585449,1599
32,-7.1736931800842285,1649
33,-7.18145751953125,1699
34,-7.051425933837891,1749
35,-7.207976818084717,1799
36,-7.2776641845703125,1849
37,-7.075143337249756,1899
38,-6.940030574798584,1949
39,-7.018742084503174,1999
40,-7.2123026847839355,2049
41,-7.303588390350342,2099
42,-7.301311016082764,2149
43,-7.292681694030762,2199
44,-7.2520976066589355,2249
45,-7.377635955810547,2299
46,-7.318246841430664,2349
47,-7.211914539337158,2399
48,-7.371638774871826,2449
49,-7.400261402130127,2499
