step,epoch,train_loss
49,0,-3.6165356636047363
99,1,-4.308721542358398
149,2,-4.4307684898376465
199,3,-4.526820659637451
249,4,-4.571496486663818
299,5,-4.642631530761719
349,6,-4.691173553466797
399,7,-4.7394585609436035
449,8,-4.805284023284912
499,9,-4.859752655029297
549,10,-4.9045844078063965
599,11,-4.925997734069824
649,12,-4.987578392028809
699,13,-5.038614273071289
749,14,-5.074611663818359
799,15,-5.122499465942383
849,16,-5.08803653717041
899,17,-5.132737636566162
949,18,-5.145915508270264
999,19,-5.191267013549805
1049,20,-5.248680591583252
1099,21,-5.263809680938721
1149,22,-5.303473472595215
1199,23,-5.277791976928711
1249,24,-5.3120012283325195
1299,25,-5.346101760864258
1349,26,-5.358464241027832
1399,27,-5.374356746673584
1449,28,-5.409130096435547
1499,29,-5.428218841552734
1549,30,-5.436880588531494
1599,31,-5.481389999389648
1649,32,-5.489682197570801
1699,33,-5.486623764038086
1749,34,-5.517530918121338
1799,35,-5.550434112548828
1849,36,-5.576058387756348
1899,37,-5.591585636138916
1949,38,-5.605268478393555
1999,39,-5.629954814910889
2049,40,-5.642401695251465
2099,41,-5.678079128265381
2149,42,-5.682898044586182
2199,43,-5.697439670562744
2249,44,-5.706621170043945
2299,45,-5.71328592300415
2349,46,-5.7242326736450195
2399,47,-5.7262043952941895
2449,48,-5.720210075378418
2499,49,-5.735508918762207
