epoch,train_loss,step
0,-3.3515079021453857,49
1,-3.9373891353607178,99
2,-4.052966117858887,149
3,-4.085228443145752,199
4,-4.134108066558838,249
5,-4.155957221984863,299
6,-4.19999361038208,349
7,-4.215203285217285,399
8,-4.2882256507873535,449
9,-4.325277328491211,499
10,-4.338461399078369,549
11,-4.34732723236084,599
12,-4.369793891906738,649
13,-4.390539646148682,699
14,-4.450918197631836,749
15,-4.439653396606445,799
16,-4.489961624145508,849
17,-4.493770599365234,899
18,-4.487405300140381,949
19,-4.463088512420654,999
20,-4.524178981781006,1049
21,-4.529351711273193,1099
22,-4.4893879890441895,1149
23,-4.497411727905273,1199
24,-4.531676769256592,1249
25,-4.593969821929932,1299
26,-4.542586803436279,1349
27,-4.610596179962158,1399
28,-4.630061149597168,1449
29,-4.5953369140625,1499
30,-4.568816661834717,1549
31,-4.644782066345215,1599
32,-4.638357162475586,1649
33,-4.65925931930542,1699
34,-4.6741533279418945,1749
35,-4.626922607421875,1799
36,-4.728166580200195,1849
37,-4.733994960784912,1899
38,-4.7310309410095215,1949
39,-4.692953586578369,1999
40,-4.61469841003418,2049
41,-4.6252055168151855,2099
42,-4.715231418609619,2149
43,-4.637230396270752,2199
44,-4.726724624633789,2249
45,-4.666076183319092,2299
46,-4.760610580444336,2349
47,-4.824965953826904,2399
48,-4.819504737854004,2449
49,-4.824575901031494,2499
