epoch,train_loss,step
0,-3.4075710773468018,49
1,-3.678309917449951,99
2,-4.058325290679932,149
3,-4.1140828132629395,199
4,-4.215861797332764,249
5,-4.326150417327881,299
6,-4.274713516235352,349
7,-4.415240287780762,399
8,-4.461082935333252,449
9,-4.488882064819336,499
10,-4.513802528381348,549
11,-4.547897815704346,599
12,-4.580331325531006,649
13,-4.586249828338623,699
14,-4.6095428466796875,749
15,-4.645415782928467,799
16,-4.654214382171631,849
17,-4.677476406097412,899
18,-4.706701755523682,949
19,-4.7015886306762695,999
20,-4.727766513824463,1049
21,-4.7323689460754395,1099
22,-4.7042412757873535,1149
23,-4.754786014556885,1199
24,-4.7636590003967285,1249
25,-4.840129852294922,1299
26,-4.873344898223877,1349
27,-4.931488990783691,1399
28,-4.992658615112305,1449
29,-5.046987056732178,1499
30,-5.1203789710998535,1549
31,-5.208972930908203,1599
32,-5.233404159545898,1649
33,-5.309441089630127,1699
34,-5.410099029541016,1749
35,-5.42573356628418,1799
36,-5.508320331573486,1849
37,-5.645754814147949,1899
38,-5.6455979347229,1949
39,-5.688077449798584,1999
40,-5.769498825073242,2049
41,-5.797957897186279,2099
42,-5.939184665679932,2149
43,-5.869173526763916,2199
44,-5.979764461517334,2249
45,-5.943512439727783,2299
46,-5.960233211517334,2349
47,-6.0363078117370605,2399
48,-6.109677791595459,2449
49,-6.0805277824401855,2499
