train_loss,epoch,step
-4.397305965423584,0,49
-4.525923728942871,1,99
-4.710190296173096,2,149
-4.854131698608398,3,199
-4.926064968109131,4,249
-5.008357524871826,5,299
-5.05778694152832,6,349
-5.07975959777832,7,399
-5.117347717285156,8,449
-5.129568576812744,9,499
-5.222986221313477,10,549
-5.218189239501953,11,599
-5.307632923126221,12,649
-5.320891857147217,13,699
-5.320227146148682,14,749
-5.338924407958984,15,799
-5.400406360626221,16,849
-5.437664985656738,17,899
-5.420225620269775,18,949
-5.461042404174805,19,999
-5.471213340759277,20,1049
-5.521420955657959,21,1099
-5.550159931182861,22,1149
-5.5708746910095215,23,1199
-5.578059673309326,24,1249
-5.561680316925049,25,1299
-5.619475841522217,26,1349
-5.6248393058776855,27,1399
-5.6758131980896,28,1449
-5.687500476837158,29,1499
-5.715887069702148,30,1549
-5.740504741668701,31,1599
-5.755002021789551,32,1649
-5.763452053070068,33,1699
-5.783594131469727,34,1749
-5.807147026062012,35,1799
-5.839183330535889,36,1849
-5.86989688873291,37,1899
-5.9041666984558105,38,1949
-5.90684700012207,39,1999
-5.949775218963623,40,2049
-5.966095447540283,41,2099
-5.986205577850342,42,2149
-6.011704921722412,43,2199
-6.0488810539245605,44,2249
-6.088586807250977,45,2299
-6.099356174468994,46,2349
-6.134675979614258,47,2399
-6.152088642120361,48,2449
-6.199347019195557,49,2499
