step,train_loss,epoch
49,-3.311415195465088,0
99,-3.915408134460449,1
149,-4.101820468902588,2
199,-4.198326587677002,3
249,-4.255209922790527,4
299,-4.3663740158081055,5
349,-4.407486438751221,6
399,-4.474706172943115,7
449,-4.461521148681641,8
499,-4.582170009613037,9
549,-4.604340076446533,10
599,-4.672012805938721,11
649,-4.705984592437744,12
699,-4.739248752593994,13
749,-4.808619499206543,14
799,-4.828327655792236,15
849,-4.87596321105957,16
899,-4.94244909286499,17
949,-4.964634895324707,18
999,-5.052673816680908,19
1049,-5.092375755310059,20
1099,-5.143146514892578,21
1149,-5.249691009521484,22
1199,-5.264822959899902,23
1249,-5.3735127449035645,24
1299,-5.430170059204102,25
1349,-5.5307698249816895,26
1399,-5.5658087730407715,27
1449,-5.665534019470215,28
1499,-5.722036838531494,29
1549,-5.67709493637085,30
1599,-5.829126358032227,31
1649,-5.846151351928711,32
1699,-5.898552417755127,33
1749,-5.895823955535889,34
1799,-5.918694972991943,35
1849,-6.013875961303711,36
1899,-5.987061977386475,37
1949,-6.0896077156066895,38
1999,-6.121265888214111,39
2049,-6.089576244354248,40
2099,-6.203606605529785,41
2149,-6.128169059753418,42
2199,-6.2517242431640625,43
2249,-6.28140115737915,44
2299,-6.247592926025391,45
2349,-6.355079174041748,46
2399,-6.353330135345459,47
2449,-6.359835147857666,48
2499,-6.276594161987305,49
