epoch,train_loss,step
0,-4.040929794311523,49
1,-4.224094390869141,99
2,-4.560975074768066,149
3,-5.030802249908447,199
4,-5.466577529907227,249
5,-5.8277153968811035,299
6,-6.104794502258301,349
7,-6.352996826171875,399
8,-6.440484046936035,449
9,-6.646078109741211,499
10,-6.652814865112305,549
11,-6.7000861167907715,599
12,-6.822339057922363,649
13,-6.945810317993164,699
14,-6.994668960571289,749
15,-7.010076522827148,799
16,-6.865041732788086,849
17,-7.060034275054932,899
18,-7.133939266204834,949
19,-7.189477443695068,999
20,-7.229661464691162,1049
21,-7.27236270904541,1099
22,-7.286710739135742,1149
23,-7.2953033447265625,1199
24,-7.265789031982422,1249
25,-7.273596286773682,1299
26,-7.339775562286377,1349
27,-7.42401123046875,1399
28,-7.402328014373779,1449
29,-7.359689712524414,1499
30,-7.370023727416992,1549
31,-7.468851089477539,1599
32,-7.4725494384765625,1649
33,-7.462688446044922,1699
34,-7.295487880706787,1749
35,-7.292203903198242,1799
36,-7.561577796936035,1849
37,-7.555099964141846,1899
38,-7.578090190887451,1949
39,-7.594484806060791,1999
40,-7.557674407958984,2049
41,-7.598656177520752,2099
42,-7.606065273284912,2149
43,-7.6429619789123535,2199
44,-7.640230178833008,2249
45,-7.601819038391113,2299
46,-7.634774684906006,2349
47,-7.62775993347168,2399
48,-7.684325695037842,2449
49,-7.5762553215026855,2499
