step,epoch,train_loss
49,0,-4.408644199371338
99,1,-4.465988636016846
149,2,-4.5300822257995605
199,3,-4.6324357986450195
249,4,-4.735738754272461
299,5,-4.809586048126221
349,6,-4.879281520843506
399,7,-4.927539348602295
449,8,-4.986066818237305
499,9,-5.018178462982178
549,10,-5.068089008331299
599,11,-5.081665515899658
649,12,-5.116156101226807
699,13,-5.1562819480896
749,14,-5.17837381362915
799,15,-5.198080539703369
849,16,-5.2072882652282715
899,17,-5.232007026672363
949,18,-5.238920211791992
999,19,-5.260693550109863
1049,20,-5.28201150894165
1099,21,-5.286651134490967
1149,22,-5.298167705535889
1199,23,-5.324382305145264
1249,24,-5.338275909423828
1299,25,-5.3346028327941895
1349,26,-5.35871696472168
1399,27,-5.377523422241211
1449,28,-5.367166042327881
1499,29,-5.383997917175293
1549,30,-5.396998882293701
1599,31,-5.4044976234436035
1649,32,-5.410960674285889
1699,33,-5.42401123046875
1749,34,-5.4228057861328125
1799,35,-5.426183700561523
1849,36,-5.440529823303223
1899,37,-5.442253589630127
1949,38,-5.438830375671387
1999,39,-5.451082706451416
2049,40,-5.4629034996032715
2099,41,-5.461004734039307
2149,42,-5.4609575271606445
2199,43,-5.460798740386963
2249,44,-5.468132972717285
2299,45,-5.454786777496338
2349,46,-5.457674026489258
2399,47,-5.4725847244262695
2449,48,-5.454763412475586
2499,49,-5.466060161590576
