step,train_loss,epoch
49,-3.4278454780578613,0
99,-3.9544296264648438,1
149,-4.132706642150879,2
199,-4.254493236541748,3
249,-4.331063747406006,4
299,-4.427312850952148,5
349,-4.531463146209717,6
399,-4.595047473907471,7
449,-4.654932975769043,8
499,-4.6951518058776855,9
549,-4.752592086791992,10
599,-4.771585464477539,11
649,-4.802572727203369,12
699,-4.866553783416748,13
749,-4.9102396965026855,14
799,-4.919772148132324,15
849,-4.979465484619141,16
899,-4.9990010261535645,17
949,-5.052521228790283,18
999,-5.0900492668151855,19
1049,-5.142982006072998,20
1099,-5.2056684494018555,21
1149,-5.246684551239014,22
1199,-5.306201934814453,23
1249,-5.378259181976318,24
1299,-5.42631721496582,25
1349,-5.489203929901123,26
1399,-5.556198596954346,27
1449,-5.627929210662842,28
1499,-5.6728434562683105,29
1549,-5.759031295776367,30
1599,-5.754146575927734,31
1649,-5.82752799987793,32
1699,-5.901668548583984,33
1749,-5.893289089202881,34
1799,-6.037567138671875,35
1849,-6.040832042694092,36
1899,-6.126430511474609,37
1949,-6.066137313842773,38
1999,-6.2216105461120605,39
2049,-6.2182769775390625,40
2099,-6.3275017738342285,41
2149,-6.326865196228027,42
2199,-6.331722259521484,43
2249,-6.339604377746582,44
2299,-6.257911205291748,45
2349,-6.354187488555908,46
2399,-6.433048725128174,47
2449,-6.488858699798584,48
2499,-6.405728816986084,49
