step,train_loss,epoch
49,-4.055594444274902,0
99,-4.137439727783203,1
149,-4.259067058563232,2
199,-4.512679100036621,3
249,-4.791635036468506,4
299,-5.0304179191589355,5
349,-5.252743721008301,6
399,-5.398221015930176,7
449,-5.558584213256836,8
499,-5.685312271118164,9
549,-5.7902116775512695,10
599,-5.886176109313965,11
649,-5.9659905433654785,12
699,-6.049798488616943,13
749,-6.110660552978516,14
799,-6.165258407592773,15
849,-6.235560894012451,16
899,-6.281708240509033,17
949,-6.355495452880859,18
999,-6.3957366943359375,19
1049,-6.426342010498047,20
1099,-6.465624809265137,21
1149,-6.5122199058532715,22
1199,-6.5459418296813965,23
1249,-6.591510772705078,24
1299,-6.623812198638916,25
1349,-6.627133369445801,26
1399,-6.665132522583008,27
1449,-6.706959247589111,28
1499,-6.699744701385498,29
1549,-6.759140491485596,30
1599,-6.781389236450195,31
1649,-6.817567348480225,32
1699,-6.8255791664123535,33
1749,-6.863478183746338,34
1799,-6.882128715515137,35
1849,-6.900813579559326,36
1899,-6.9428019523620605,37
1949,-6.935159206390381,38
1999,-6.974611759185791,39
2049,-7.002115249633789,40
2099,-6.989165782928467,41
2149,-7.041250705718994,42
2199,-7.0301432609558105,43
2249,-7.0599236488342285,44
2299,-7.057931900024414,45
2349,-7.086453914642334,46
2399,-7.124322891235352,47
2449,-7.112911224365234,48
2499,-7.152345657348633,49
