train_loss,epoch,step
-4.413131237030029,0,49
-4.547710418701172,1,99
-4.734382152557373,2,149
-4.861998081207275,3,199
-4.9323625564575195,4,249
-5.025071620941162,5,299
-5.058110237121582,6,349
-5.136404514312744,7,399
-5.135551929473877,8,449
-5.219025135040283,9,499
-5.2553606033325195,10,549
-5.27719783782959,11,599
-5.3165974617004395,12,649
-5.355298042297363,13,699
-5.384669780731201,14,749
-5.4175705909729,15,799
-5.42812442779541,16,849
-5.457912445068359,17,899
-5.492525577545166,18,949
-5.513988494873047,19,999
-5.527624607086182,20,1049
-5.5416579246521,21,1099
-5.5755934715271,22,1149
-5.604101181030273,23,1199
-5.626797676086426,24,1249
-5.644631862640381,25,1299
-5.663760185241699,26,1349
-5.686136245727539,27,1399
-5.703866958618164,28,1449
-5.733233451843262,29,1499
-5.749931812286377,30,1549
-5.774553298950195,31,1599
-5.783955097198486,32,1649
-5.811151027679443,33,1699
-5.842642784118652,34,1749
-5.848438739776611,35,1799
-5.876507759094238,36,1849
-5.905709266662598,37,1899
-5.9085164070129395,38,1949
-5.931898593902588,39,1999
-5.946770191192627,40,2049
-5.959997653961182,41,2099
-5.979362964630127,42,2149
-5.9916462898254395,43,2199
-5.990994930267334,44,2249
-5.996440887451172,45,2299
-6.007391929626465,46,2349
-6.003425121307373,47,2399
-6.009442329406738,48,2449
-6.0057902336120605,49,2499
