epoch,train_loss,step
0,-3.9654290676116943,49
1,-4.181794166564941,99
2,-4.50825309753418,149
3,-4.9451398849487305,199
4,-5.334287643432617,249
5,-5.610719680786133,299
6,-5.8568878173828125,349
7,-6.024030685424805,399
8,-6.103282928466797,449
9,-6.324148654937744,499
10,-6.43698263168335,549
11,-6.587501049041748,599
12,-6.568722724914551,649
13,-6.516513824462891,699
14,-6.7774176597595215,749
15,-6.790485858917236,799
16,-6.858224868774414,849
17,-6.938248157501221,899
18,-6.957219123840332,949
19,-7.001554489135742,999
20,-6.982310771942139,1049
21,-7.071541786193848,1099
22,-7.041537284851074,1149
23,-6.966005325317383,1199
24,-6.827764987945557,1249
25,-6.8628830909729,1299
26,-7.155488967895508,1349
27,-7.2137675285339355,1399
28,-7.202080249786377,1449
29,-7.218524932861328,1499
30,-7.275318622589111,1549
31,-7.296619415283203,1599
32,-7.2935614585876465,1649
33,-7.304997444152832,1699
34,-7.2892746925354,1749
35,-7.327848434448242,1799
36,-7.301075458526611,1849
37,-7.3688178062438965,1899
38,-7.425111770629883,1949
39,-7.4129533767700195,1999
40,-7.410485744476318,2049
41,-7.412328720092773,2099
42,-7.440954685211182,2149
43,-7.441357612609863,2199
44,-7.447808265686035,2249
45,-7.44729471206665,2299
46,-7.537890434265137,2349
47,-7.502964496612549,2399
48,-7.52734375,2449
49,-7.345575332641602,2499
