step,train_loss,epoch
49,-3.404176950454712,0
99,-4.024428844451904,1
149,-4.13613224029541,2
199,-4.213460922241211,3
249,-4.330187797546387,4
299,-4.408454895019531,5
349,-4.498834609985352,6
399,-4.542031288146973,7
449,-4.581142902374268,8
499,-4.654769420623779,9
549,-4.755704402923584,10
599,-4.784545421600342,11
649,-4.815211296081543,12
699,-4.903695583343506,13
749,-4.968719482421875,14
799,-5.055363655090332,15
849,-5.125954627990723,16
899,-5.2122979164123535,17
949,-5.293241024017334,18
999,-5.412647247314453,19
1049,-5.468198776245117,20
1099,-5.5848798751831055,21
1149,-5.642899990081787,22
1199,-5.684980392456055,23
1249,-5.80306339263916,24
1299,-5.820249080657959,25
1349,-5.933781623840332,26
1399,-5.947660446166992,27
1449,-6.0211992263793945,28
1499,-6.072821617126465,29
1549,-6.096412181854248,30
1599,-6.164628982543945,31
1649,-6.202096939086914,32
1699,-6.160801410675049,33
1749,-6.282392501831055,34
1799,-6.2751054763793945,35
1849,-6.286357402801514,36
1899,-6.305110931396484,37
1949,-6.335259437561035,38
1999,-6.470914363861084,39
2049,-6.498120307922363,40
2099,-6.388693332672119,41
2149,-6.4795660972595215,42
2199,-6.549413681030273,43
2249,-6.505642890930176,44
2299,-6.396864414215088,45
2349,-6.577849864959717,46
2399,-6.561252593994141,47
2449,-6.403987884521484,48
2499,-6.669499397277832,49
