step,train_loss,epoch
49,-4.044648170471191,0
99,-4.1472344398498535,1
149,-4.264909744262695,2
199,-4.465865612030029,3
249,-4.677468299865723,4
299,-4.885290145874023,5
349,-5.083789825439453,6
399,-5.2724127769470215,7
449,-5.400786876678467,8
499,-5.539182662963867,9
549,-5.646485805511475,10
599,-5.771557807922363,11
649,-5.872706413269043,12
699,-5.9371337890625,13
749,-6.006028652191162,14
799,-6.099644660949707,15
849,-6.119243621826172,16
899,-6.209367752075195,17
949,-6.235057830810547,18
999,-6.314698696136475,19
1049,-6.38212776184082,20
1099,-6.389498233795166,21
1149,-6.434650421142578,22
1199,-6.483591079711914,23
1249,-6.511431694030762,24
1299,-6.543692588806152,25
1349,-6.584248065948486,26
1399,-6.6154351234436035,27
1449,-6.625324726104736,28
1499,-6.652443885803223,29
1549,-6.646918773651123,30
1599,-6.7098236083984375,31
1649,-6.725931167602539,32
1699,-6.750771999359131,33
1749,-6.752237319946289,34
1799,-6.782359600067139,35
1849,-6.795505523681641,36
1899,-6.8054327964782715,37
1949,-6.833961009979248,38
1999,-6.859445571899414,39
2049,-6.851872444152832,40
2099,-6.911572456359863,41
2149,-6.931684970855713,42
2199,-6.887796401977539,43
2249,-6.926881313323975,44
2299,-6.9455790519714355,45
2349,-6.951189041137695,46
2399,-6.993218898773193,47
2449,-6.958813667297363,48
2499,-7.003766059875488,49
