step,train_loss,epoch
49,-4.055257797241211,0
99,-4.144925594329834,1
149,-4.28079891204834,2
199,-4.527841567993164,3
249,-4.81022834777832,4
299,-5.053964614868164,5
349,-5.264481067657471,6
399,-5.4225993156433105,7
449,-5.549633979797363,8
499,-5.68216609954834,9
549,-5.784520149230957,10
599,-5.894193172454834,11
649,-5.972854137420654,12
699,-6.063113212585449,13
749,-6.119321346282959,14
799,-6.198974132537842,15
849,-6.249359130859375,16
899,-6.307737827301025,17
949,-6.325473785400391,18
999,-6.38871955871582,19
1049,-6.450318813323975,20
1099,-6.490288257598877,21
1149,-6.556585311889648,22
1199,-6.535793304443359,23
1249,-6.6151628494262695,24
1299,-6.6372175216674805,25
1349,-6.678863525390625,26
1399,-6.701876163482666,27
1449,-6.740339279174805,28
1499,-6.7481369972229,29
1549,-6.793035984039307,30
1599,-6.814157485961914,31
1649,-6.853163242340088,32
1699,-6.871455192565918,33
1749,-6.856734752655029,34
1799,-6.943604946136475,35
1849,-6.947051525115967,36
1899,-6.945476055145264,37
1949,-6.992924690246582,38
1999,-6.980672836303711,39
2049,-6.998693466186523,40
2099,-7.028192043304443,41
2149,-7.056085109710693,42
2199,-7.076526641845703,43
2249,-7.1003875732421875,44
2299,-7.124669075012207,45
2349,-7.1113715171813965,46
2399,-7.122445583343506,47
2449,-7.152799129486084,48
2499,-7.177553176879883,49
