epoch,train_loss,step
0,-3.3621201515197754,49
1,-3.989501953125,99
2,-4.063406467437744,149
3,-4.14456844329834,199
4,-4.161706924438477,249
5,-4.159725189208984,299
6,-4.3032660484313965,349
7,-4.331759452819824,399
8,-4.351897239685059,449
9,-4.408459186553955,499
10,-4.429041862487793,549
11,-4.471881866455078,599
12,-4.496106147766113,649
13,-4.549340724945068,699
14,-4.517233848571777,749
15,-4.566650867462158,799
16,-4.606258869171143,849
17,-4.639581680297852,899
18,-4.6331892013549805,949
19,-4.680713653564453,999
20,-4.725033283233643,1049
21,-4.7407073974609375,1099
22,-4.734039306640625,1149
23,-4.838241100311279,1199
24,-4.82673978805542,1249
25,-4.871931076049805,1299
26,-4.908411026000977,1349
27,-4.9225664138793945,1399
28,-4.91983699798584,1449
29,-4.955552577972412,1499
30,-4.995477199554443,1549
31,-5.058400630950928,1599
32,-5.048945426940918,1649
33,-5.087782382965088,1699
34,-5.141485214233398,1749
35,-5.1548967361450195,1799
36,-5.193894863128662,1849
37,-5.234671592712402,1899
38,-5.252774715423584,1949
39,-5.3053765296936035,1999
40,-5.329809665679932,2049
41,-5.344745635986328,2099
42,-5.362015247344971,2149
43,-5.430124282836914,2199
44,-5.47898006439209,2249
45,-5.489187240600586,2299
46,-5.469691276550293,2349
47,-5.495394229888916,2399
48,-5.573379039764404,2449
49,-5.591619968414307,2499
