step,train_loss,epoch
49,-3.344240188598633,0
99,-3.907466411590576,1
149,-4.119185924530029,2
199,-4.261194229125977,3
249,-4.333498954772949,4
299,-4.441811561584473,5
349,-4.572025299072266,6
399,-4.595832824707031,7
449,-4.654613971710205,8
499,-4.721168041229248,9
549,-4.751576900482178,10
599,-4.790104866027832,11
649,-4.835200309753418,12
699,-4.86076021194458,13
749,-4.909444808959961,14
799,-4.933218002319336,15
849,-4.946153163909912,16
899,-5.002195835113525,17
949,-5.017309665679932,18
999,-5.042745590209961,19
1049,-5.071395397186279,20
1099,-5.128442287445068,21
1149,-5.160021781921387,22
1199,-5.205023288726807,23
1249,-5.252389907836914,24
1299,-5.337141036987305,25
1349,-5.3951921463012695,26
1399,-5.4580488204956055,27
1449,-5.541075229644775,28
1499,-5.534407138824463,29
1549,-5.649958610534668,30
1599,-5.700497627258301,31
1649,-5.780474662780762,32
1699,-5.813408374786377,33
1749,-5.857212066650391,34
1799,-5.896162509918213,35
1849,-5.944150924682617,36
1899,-6.00900411605835,37
1949,-6.002791881561279,38
1999,-6.114037990570068,39
2049,-6.098649501800537,40
2099,-6.1986236572265625,41
2149,-6.22330379486084,42
2199,-6.1757493019104,43
2249,-6.234189033508301,44
2299,-6.2689528465271,45
2349,-6.290592670440674,46
2399,-6.392877578735352,47
2449,-6.466150283813477,48
2499,-6.461174964904785,49
